date,Matt Walsh,Dancing with the Stars,normalized_score
2023-09-26,3,26,11.538461538461538
2023-09-27,16,100,16.0
2023-09-28,5,24,20.833333333333336
2023-09-29,3,13,23.076923076923077
2023-09-30,2,10,20.0
2023-10-01,2,10,20.0
2023-10-02,1,10,10.0
2023-10-03,2,16,12.5
2023-10-04,2,50,4.0
2023-10-05,1,13,7.6923076923076925
2023-10-06,1,8,12.5
2023-10-07,1,8,12.5
2023-10-08,1,6,16.666666666666664
2023-10-09,2,7,28.57142857142857
2023-10-10,1,11,9.090909090909092
2023-10-11,1,51,1.9607843137254901
2023-10-12,1,11,9.090909090909092
2023-10-13,1,6,16.666666666666664
2023-10-14,1,6,16.666666666666664
2023-10-15,1,6,16.666666666666664
2023-10-16,1,6,16.666666666666664
2023-10-17,1,10,10.0
2023-10-18,1,43,2.3255813953488373
2023-10-19,1,14,7.142857142857142
2023-10-20,1,8,12.5
2023-10-21,1,6,16.666666666666664
2023-10-22,1,6,16.666666666666664
2023-10-23,1,6,16.666666666666664
2023-10-24,1,11,9.090909090909092
2023-10-25,1,50,2.0
2023-10-26,1,25,4.0
2023-10-27,1,11,9.090909090909092
2023-10-28,1,7,14.285714285714285
2023-10-29,1,5,20.0
2023-10-30,1,5,20.0
2023-10-31,1,8,12.5
2023-11-01,1,35,2.857142857142857
2023-11-02,1,8,12.5
2023-11-03,1,6,16.666666666666664
2023-11-04,1,6,16.666666666666664
2023-11-05,1,5,20.0
2023-11-06,1,5,20.0
2023-11-07,1,7,14.285714285714285
2023-11-08,1,43,2.3255813953488373
2023-11-09,1,10,10.0
2023-11-10,1,7,14.285714285714285
2023-11-11,1,6,16.666666666666664
2023-11-12,1,6,16.666666666666664
2023-11-13,1,4,25.0
2023-11-14,1,7,14.285714285714285
2023-11-15,1,48,2.083333333333333
2023-11-16,1,15,6.666666666666667
2023-11-17,1,8,12.5
2023-11-18,1,6,16.666666666666664
2023-11-19,1,6,16.666666666666664
2023-11-20,1,5,20.0
2023-11-21,1,13,7.6923076923076925
2023-11-22,1,78,1.282051282051282
2023-11-23,1,13,7.6923076923076925
2023-11-24,1,7,14.285714285714285
2023-11-25,1,7,14.285714285714285
2023-11-26,1,6,16.666666666666664
2023-11-27,1,5,20.0
2023-11-28,1,8,12.5
2023-11-29,1,53,1.8867924528301887
2023-11-30,1,12,8.333333333333332
2023-12-01,1,7,14.285714285714285
2023-12-02,1,7,14.285714285714285
2023-12-03,1,6,16.666666666666664
2023-12-04,1,5,20.0
2023-12-05,1,13,7.6923076923076925
