date,Petra Nemcova,Dancing with the Stars,normalized_score
2011-03-21,1,22,4.545454545454546
2011-03-22,7,100,7.000000000000001
2011-03-23,1,32,3.125
2011-03-24,1,15,6.666666666666667
2011-03-25,1,12,8.333333333333332
2011-03-26,1,9,11.11111111111111
2011-03-27,2,15,13.333333333333334
2011-03-28,1,12,8.333333333333332
2011-03-29,5,70,7.142857142857142
2011-03-30,3,90,3.3333333333333335
2011-03-31,1,23,4.3478260869565215
2011-04-01,0,11,0.0
2011-04-02,0,7,0.0
2011-04-03,0,6,0.0
2011-04-04,0,9,0.0
2011-04-05,3,78,3.8461538461538463
2011-04-06,2,65,3.076923076923077
2011-04-07,0,16,0.0
2011-04-08,0,11,0.0
2011-04-09,0,8,0.0
2011-04-10,0,6,0.0
2011-04-11,0,7,0.0
2011-04-12,2,49,4.081632653061225
2011-04-13,1,60,1.6666666666666667
2011-04-14,0,16,0.0
2011-04-15,0,9,0.0
2011-04-16,0,7,0.0
2011-04-17,0,6,0.0
2011-04-18,0,7,0.0
2011-04-19,2,42,4.761904761904762
2011-04-20,6,62,9.67741935483871
2011-04-21,1,18,5.555555555555555
2011-04-22,0,10,0.0
2011-04-23,0,6,0.0
2011-04-24,0,6,0.0
2011-04-25,0,8,0.0
2011-04-26,0,51,0.0
2011-04-27,0,71,0.0
2011-04-28,0,17,0.0
2011-04-29,0,8,0.0
2011-04-30,0,5,0.0
2011-05-01,0,6,0.0
2011-05-02,0,6,0.0
2011-05-03,0,33,0.0
2011-05-04,0,65,0.0
2011-05-05,0,16,0.0
2011-05-06,0,10,0.0
2011-05-07,0,6,0.0
2011-05-08,0,7,0.0
2011-05-09,0,9,0.0
2011-05-10,0,41,0.0
2011-05-11,0,79,0.0
2011-05-12,0,18,0.0
2011-05-13,0,12,0.0
2011-05-14,0,14,0.0
2011-05-15,0,10,0.0
2011-05-16,0,13,0.0
2011-05-17,0,67,0.0
2011-05-18,0,83,0.0
2011-05-19,0,19,0.0
2011-05-20,0,12,0.0
2011-05-21,0,10,0.0
2011-05-22,0,9,0.0
2011-05-23,0,14,0.0
2011-05-24,0,83,0.0
